,user2,category,pmi,count_in_class
153,3520.0,random_users,0.3178866648848586,16.0
154,3522.0,random_users,1.0183263830259508,3.0
155,3526.0,random_users,0.018326383025950806,6.0
156,3593.0,random_users,0.28136078885974447,3.0
157,3715.0,random_users,0.7288197658309657,9.0
158,3804.0,random_users,0.5328995558557088,10.0
159,3839.0,random_users,0.39488973449015874,37.0
160,3840.0,random_users,0.05732051464181469,75.0
161,3922.0,random_users,0.8484013815836382,8.0
162,3936.0,random_users,0.38089646241065916,9.0
163,3946.0,random_users,1.0183263830259508,6.0
164,3980.0,random_users,0.34025447791331304,20.0
165,4030.0,random_users,0.6313032599167033,13.0
166,4037.0,random_users,0.28136078885974447,3.0
167,4045.0,random_users,0.43336388230479445,2.0
168,4243.0,random_users,1.0183263830259508,3.0
169,4396.0,random_users,1.0183263830259506,2.0
170,4406.0,random_users,0.603288883747107,6.0
171,4444.0,random_users,1.0183263830259506,1.0
172,4488.0,random_users,0.04747272868546718,25.0
173,4509.0,random_users,0.43336388230479445,2.0
174,4558.0,random_users,0.4333638823047947,10.0
175,4578.0,random_users,1.0183263830259508,11.0
176,4598.0,random_users,1.0183263830259508,9.0
177,4607.0,random_users,0.777318283522156,22.0
178,4696.0,random_users,1.0183263830259506,4.0
179,4711.0,random_users,0.4564474954178356,21.0
180,4791.0,random_users,0.8663232895809008,9.0
181,4816.0,random_users,0.5037532101961923,154.0
182,4833.0,random_users,0.2925013464649449,26.0
183,4931.0,random_users,1.0183263830259508,5.0
184,4988.0,random_users,1.0183263830259506,1.0
185,4999.0,random_users,0.018326383025950806,5.0
186,5017.0,random_users,0.35090172211282183,17.0
187,5093.0,random_users,0.28136078885974447,6.0
188,5107.0,random_users,0.14385726510980965,6.0
189,5117.0,random_users,1.0183263830259506,1.0
190,5135.0,random_users,-0.5666361176952055,1.0
191,5149.0,random_users,0.34025447791331304,5.0
192,5212.0,random_users,0.6963982881385883,8.0
193,5215.0,random_users,0.08871571091734848,21.0
194,5242.0,random_users,0.6963982881385885,24.0
195,5374.0,random_users,1.0183263830259506,4.0
196,5413.0,random_users,0.18825138446826323,9.0
197,5511.0,random_users,0.603288883747107,3.0
198,5608.0,random_users,-1.3036017118614116,1.0
199,5645.0,random_users,1.0183263830259506,2.0
200,5649.0,random_users,0.01832638302595049,4.0
201,5699.0,random_users,0.4255017645318241,61.0
202,5702.0,random_users,0.16034538789837838,32.0
203,5759.0,random_users,1.0183263830259506,2.0
204,5814.0,random_users,0.28136078885974447,6.0
205,5827.0,random_users,0.5328995558557088,15.0
206,5841.0,random_users,0.43336388230479445,8.0
207,5908.0,random_users,1.0183263830259508,5.0
208,5909.0,random_users,1.0183263830259506,2.0
209,6031.0,random_users,0.3078330002209355,11.0
210,6077.0,random_users,1.0183263830259506,2.0
211,6095.0,random_users,0.603288883747107,3.0
212,6104.0,random_users,0.17032947647100052,5.0
213,6140.0,random_users,0.3021193490265421,14.0
214,6177.0,random_users,1.0183263830259508,3.0
215,6204.0,random_users,0.36624968644625744,14.0
216,6217.0,random_users,0.603288883747107,9.0
217,6285.0,random_users,0.018326383025950806,3.0
218,6301.0,random_users,1.0183263830259506,2.0
219,6579.0,random_users,0.018326383025950806,3.0
220,6587.0,random_users,0.603288883747107,3.0
221,6631.0,random_users,0.01832638302595049,4.0
222,6664.0,random_users,1.0183263830259508,7.0
223,6735.0,random_users,0.07972692769009401,12.0
224,6882.0,random_users,0.018326383025950806,6.0
225,6941.0,random_users,1.0183263830259508,3.0
226,6954.0,random_users,-0.80479585488997,13.0
227,7074.0,random_users,-0.3036017118614117,2.0
228,7083.0,random_users,0.28136078885974447,6.0
229,7085.0,random_users,0.7552919771921569,5.0
230,7090.0,random_users,0.8025976919705136,31.0
231,7095.0,random_users,0.43336388230479445,14.0
232,7173.0,random_users,0.28136078885974447,3.0
233,7243.0,random_users,0.18825138446826323,9.0
234,7482.0,random_users,0.25279163666297366,10.0
235,7493.0,random_users,0.17032947647100052,5.0
236,7512.0,random_users,-0.7890285390316534,2.0
237,7610.0,random_users,-1.7890285390316534,1.0
238,7694.0,random_users,0.6963982881385883,4.0
239,7698.0,random_users,0.43336388230479445,8.0
240,7738.0,random_users,1.0183263830259508,5.0
241,7819.0,random_users,1.0183263830259506,1.0
242,7846.0,random_users,-0.42645845964694495,54.0
243,8157.0,random_users,-0.9816736169740495,1.0
244,8180.0,random_users,-0.26178153616678457,7.0
